id,last,first,pos
5728,Cecconi,Joseph,D
5307,Ceci,Cody,D
11744,Cehlarik,Peter,LW
5638,Cernak,Erik,D
5113,Cervenka,Roman,C
5613,Chabot,Thomas,D
4804,Chaput,Stefan,C
5282,Chaput,Michael,C
218,Chara,Zdeno,D
621,Charpentier,Sebastien,G
12028,Chartier,Rourke,C
462,Chartrand,Brad,RW
12016,Chatham,Connor,RW
1109,Chebaturkin,Vladimir,D
368,Cheechoo,Jonathan,RW
11781,Cheek,Trevor,LW
11772,Chelios,Jake,D
5285,Chiarot,Ben,D
5200,Chiasson,Alex,RW
388,Chimera,Jason,LW
943,Chiodo,Andy,G
4302,Chipchura,Kyle,C
60,Chistov,Stanislav,RW
5642,Chlapik,Filip,C
9646,Cholowski,Dennis,D
4504,Chorney,Taylor,D
645,Chouinard,Eric,C
963,Chouinard,Mathieu,G
3756,Christensen,Erik,C
428,Chubarov,Artem,C
4636,Chucko,Kris,LW
5777,Chukarov,Ivan,D
9642,Chychrun,Jakob,D
11843,Ciampini,Daniel,RW
448,Cibak,Martin,C
788,Ciernik,Ivan,LW
5667,Cirelli,Anthony,C
5083,Cizikas,Casey,C
5901,Claesson,Fredrik,D
4798,Clark,Mat,D
405,Clark,Chris,RW
4249,Clarkson,David,RW
1107,Classen,Greg,C
640,Cleary,Daniel,RW
901,Clemmensen,Scott,G
5448,Clendening,Adam,D
4508,Cliche,Marc-Andre,RW
4889,Clifford,Kyle,LW
4499,Climie,Matt,G
4769,Clitsome,Grant,D
3670,Clowe,Ryane,LW
4509,Clune,Rich,LW
4318,Clutterbuck,Cal,RW
449,Clymer,Ben,RW
3683,Coburn,Braydon,D
5409,Coetzee,Willie,RW
4284,Cogliano,Andrew,C
4907,Cohen,Colby,D
897,Colaiacovo,Carlo,D
4980,Colborne,Joe,C
4905,Cole,Ian,D
239,Cole,Erik,RW
11702,Coleman,Blake,C
3773,Coleman,Gerald,G
12041,Collberg,Sebastian,RW
3747,Colley,Kevin,RW
3818,Collins,Rob,RW
4580,Collins,Sean,C
4154,Comeau,Blake,LW
5564,Compher,J.T.,LW
853,Comrie,Mike,C
12468,Comrie,Eric,G
5141,Conacher,Cory,C
4350,Conboy,Tim,D
5835,Condon,Mike,G
4956,Condra,Erik,RW
5278,Connauton,Kevin,D
4831,Connelly,Brian,D
4156,Conner,Chris,RW
5004,Connolly,Brett,RW
5085,Connolly,Matt,LW
5612,Connor,Kyle,LW
406,Conroy,Craig,C
429,Cooke,Matt,LW
5571,Copley,Phoenix,G
5555,Copp,Andrew,C
891,Corazzini,Carl,C
11500,Coreau,Jared,G
4872,Cormier,Patrice,C
5072,Cornet,Phillippe,LW
5217,Corrado,Frank,D
4736,Corrente,Matthew,D
896,Corso,Daniel,C
3794,Cote,Jean-Philippe,D
4252,Cote,Riley,LW
5764,Cotton,David,C
5572,Coughlin,Liam,C
4113,Coulombe,Patrick,D
4484,Courchaine,Adam,G
4799,Cousineau,Marco,G
5536,Cousins,Nick,C
4715,Couture,Logan,C
4995,Couturier,Sean,C
331,Cowan,Jeff,LW
4789,Cowen,Jared,D
11837,Cox,Trevor,LW
5124,Coyle,Charlie,RW
4481,Crabb,Joey,RW
4684,Cracknell,Adam,RW
3816,Craig,Ryan,C
10100,Cramarossa,Joseph,LW
3855,Crawford,Corey,G
11806,Crescenzi,Andrew,C
4381,Crombeen,B.J.,RW
3490,Crosby,Sidney,C
5836,Cross,Tommy,D
5606,Crouse,Lawson,LW
5725,Cukste,Karlis,D
3772,Cullen,Mark,C
257,Cullen,Matt,C
450,Cullimore,Jassen,D
4516,Cuma,Tyler,D
4209,Cumiskey,Kyle,D
5216,Cundari,Mark,D
5312,Cunningham,Craig,RW
4463,Curry,John,G
1004,Cutta,Jakub,D
10077,Czarnik,Austin,C
5349,Czuczman,Kevin,D
5794,Daccord,Joel,G
201,Dackell,Andreas,RW
4974,Da Costa,Stephane,C
4787,Dadonov,Evgeny,LW
4417,D'Agostini,Matt,RW
5493,Dahlbeck,Klas,D
1012,Dahlen,Ulf,RW
1031,Dahlman,Toni,RW
5806,Dahlstrom,John,RW
5421,Dal Colle,Michael,LW
701,Daley,Trevor,D
3685,Dallman,Kevin,D
4805,Dalpe,Zac,C
5304,D'Amigo,Jerry,RW
5487,Danault,Phillip,C
293,Dandenault,Mathieu,D
1025,Daniels,Jeff,LW
3663,Danis,Yann,G
4832,Danis-Pepin,Simon,D
5450,Dano,Marko,C
12477,Dansk,Oscar,G
530,Danton,Mike,C
865,Darby,Craig,C
5475,Darling,Scott,G
294,Datsyuk,Pavel,C
4757,Daugavins,Kaspars,LW
5899,Dauphin,Laurent,C
5498,Davidson,Brandon,D
1120,Davidson,Matt,RW
4821,Davis,Nathan,C
4568,Davis,Patrick,RW
4026,Dawes,Nigel,LW
11803,Dea,Jean-Sebastien,C
1020,Deadmarsh,Adam,RW
5424,DeAngelo,Anthony,D
1032,Debrusk,Louie,LW
5609,DeBrusk,Jake,LW
5411,DeFazio,Brandon,LW
4471,de Gray,John,D
5049,de Haan,Calvin,D
4926,Dekanich,Mark,G
5203,DeKeyser,Danny,D
5520,De La Rose,Jacob,LW
8947,De Leo,Chase,C
10074,Dell,Aaron,G
4919,Della Rovere,Stefan,LW
164,Delmore,Andy,D
4695,Del Zotto,Michael,D
5822,DeMelo,Dylan,D
4699,Demers,Jason,D
329,Denis,Marc,G
4844,Deobald,Nathan,G
5669,Dergachyov,Alexander,C
5629,Dermott,Travis,D
4709,DesBiens,Guillaume,RW
5336,Deschamps,Nicolas,C
11854,Descheneau,Jaedon,RW
4739,Desharnais,David,C
4931,Desjardins,Cedrick,G
4933,Desjardins,Andrew,C
181,Desjardins,Eric,D
4443,Deslauriers,Jeff,G
4567,Deslauriers,Jeff,G
5341,Deslauriers,Nicolas,LW
5046,DesPres,Simon,D
5750,Desrocher,Stephen,D
5262,Devane,Jamie,LW
4571,Deveaux,Andre,C
295,Devereaux,Boyd,C
501,De Vries,Greg,D
4992,Diaz,Raphael,D
4965,DiBenedetto,Justin,C
9073,Dickinson,Jason,C
11763,Didier,Josiah,D
4818,Didomenico,Christopher,C
8864,Dietz,Darren,D
12029,Digiacinto,Cristiano,LW
5881,Di Giuseppe,Phillipe,LW
5103,Dillon,Brenden,D
714,Dimitrakos,Nicholas,RW
1036,Dineen,Kevin,RW
451,Dingman,Chris,LW
12010,DiPaolo,Mike,RW
11820,Di Pauli,Thomas,C
3622,DiPenta,Joey,D
134,DiPietro,Rick,G
3853,Disalvatore,Jon,RW
861,Divis,Reinhard,G
11752,Djoos,Christian,D
547,Doan,Shane,RW
12002,Dodero,Charlie,D
4806,Dodge,Nick,RW
4352,Doell,Kevin,C
5405,Doherty,Taylor,D
5412,Domi,Max,C
578,Domi,Tie,RW
5518,Domingue,Louis,G
11828,Donaghey,Cody,D
4472,Donally,Ryan,LW
11790,Donnay,Troy,D
5097,Donovan,Matt,D
407,Donovan,Shean,RW
5821,Donskoi,Joonas,RW
4979,Doornbosch,Jamie,D
1056,Dopita,Jiri,C
11997,Doremus,Daniel,RW
4438,Dorsett,Derek,RW
11704,Dotchin,Jake,D
11838,Doty,Jacob,C
12500,Dougherty,Jack,D
4510,Doughty,Drew,D
826,Doull,Doug,LW
5693,Dove-McFalls,Samuel,LW
9007,Dowd,Nic,C
64,Dowd,Jim,C
4329,Dowell,Jacob,C
10105,Dowling,Justin,C
617,Downey,Aaron,RW
4348,Downie,Steve,RW
11798,Downing,Grayson,C
5417,Draisaitl,Leon,C
5173,Drazenovic,Nick,C
4909,Drazenovic,Nicholas,C
4622,Drewiske,Davis,D
5540,Driedger,Chris,G
5230,Drouin,Jonathan,LW
4245,Dubinsky,Brandon,C
4666,Dubnyk,Devan,G
4663,Duchene,Matt,C
4782,Duchesne,Jeremy,G
5441,Duclair,Anthony,LW
4743,Duco,Mike,C
5125,Dumba,Matthew,D
5099,Dumont,Gabriel,C
166,Dumont,Jean-Pierre,RW
5310,Dumoulin,Brian,D
5771,Dunda,Liam,LW
5650,Dunn,Vince,D
4942,Dupont,Brodie,C
1053,Dupont,Micki,D
713,Dupuis,Pascal,LW
4590,Dupuis,Philippe,C
4613,Durno,Chris,LW
968,Dusablon,Benoit,C
390,Dvorak,Radek,RW
10069,Dvorak,Christian,C
4435,Dwyer,Patrick,RW
948,Dykhuis,Karl,D
5663,Dzierkals,Martins,LW
5895,Dzingel,Ryan,LW
5170,Dziurzynski,Dave,LW
5025,Eakin,Cody,C
4385,Earl,Robbie,LW
470,Eastwood,Mike,C
352,Eaton,Mark,D
4673,Eaves,Ben,C
3733,Eaves,Patrick,RW
4397,Ebbett,Andrew,C
4505,Eberle,Jordan,RW
11857,Eberle,Tanner,LW
4733,Eckford,Tyler,D
4099,Edler,Alexander,D
5823,Edmundson,Joel,D
5419,Ehlers,Nikolaj,RW
371,Ehrhoff,Christian,D
5597,Eichel,Jack,C
11764,Eisenschmid,Markus,C
5414,Ekblad,Aaron,D
5022,Ekholm,Mattias,D
3493,Eklund,Brian,G
372,Ekman,Nils,RW
4866,Ekman-Larsson,Oliver,D
113,Elias,Patrik,LW
11728,Elie,Remi,LW
4669,Elkins,Corey,C
4723,Eller,Lars,C
12026,Eller,Mads,LW
4668,Ellerby,Keaton,D
5040,Elliott,Stefan,D
4305,Elliott,Brian,G
4183,Ellis,Matt,LW
5928,Ellis,Morgan,D
942,Ellis,Dan,G
4869,Ellis,Ryan,D
12481,Ellis,Nick,G
921,Ellison,Matt,RW
1021,Eloranta,Mikko,LW
9077,Elson,Turner,LW
12042,Emanuelsson,Petter,RW
5017,Emelin,Alexei,D
842,Emery,Ray,G
137,Eminger,Steve,D
4840,Emmerton,Cory,C
3649,Endicott,Shane,C
4725,Engelland,Deryk,D
11499,Englund,Andreas,D
4941,Engqvist,Andreas,C
4728,Ennis,Tyler,C
4658,Enroth,Jhonas,G
4298,Enstrom,Tobias,D
600,Erat,Martin,RW
4396,Ericsson,Jonathan,D
4020,Eriksson,Loui,LW
5325,Eriksson,Joacim,G
700,Eriksson,Anders,D
5615,Eriksson-Ek,Joel,C
5008,Erixon,Tim,D
11673,Erne,Adam,LW
4398,Ersberg,Erik,G
37,Erskine,John,D
5558,Esposito,Angelo,C
5747,Estephan,Giorgio,C
11845,Etchegary,Kurt,C
5152,Etem,Emerson,RW
4473,Evans,Brennan,D
5455,Everberg,Dennis,RW
5566,Ewanyk,Travis,C
5434,Fabbri,Robby,C
9643,Fabbro,Dante,D
4464,Fahey,Brian,D
373,Fahey,Jim,D
11766,Faille,Eric,RW
5044,Fairchild,Cade,D
11784,Faith,Tanner,D
5116,Faksa,Radek,C
4517,Falk,Justin,D
5499,Farnham,Bobby,LW
669,Farrell,Michael,RW
9049,Fasching,Hudson,RW
1010,Fast,Brad,D
5257,Fast,Jesper,RW
